comparison,scenario,regime,seed_index,metric,left_value,right_value,delta
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,inventory_pnl,8543.39116881,8543.39116881,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,adverse_selection_cost,476.862938074,427.505454489,49.357483585
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,fee_pnl,16,16,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,net_pnl_after_fees,12411.9929712,12801.9929712,-390
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,risk_adjusted_pnl,4.78096809544,4.9311919605,-0.15022386506
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,maximum_drawdown,2596.1254548,2596.1254548,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,inventory_variance,2148.228976,2148.228976,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,pre_liquidation_inventory,140,140,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,final_inventory,140,140,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,maker_fills,80,80,0
avellaneda_stoikov_minus_naive,increased_execution_intensity_5x,trending,1,market_maker_filled_quantity,800,800,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,fill_rate,0.5341,0.5311,0.003
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,gross_spread_capture,-30953.32786,-30873.8291557,-79.4987043
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,inventory_pnl,66392.32786,69089.8291557,-2697.5012957
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,adverse_selection_cost,2677.72232151,2174.05730488,503.66501663
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,fee_pnl,-36.94,-39.94,3
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,net_pnl_after_fees,35402.06,38176.06,-2774
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,terminal_liquidation_cost,71242.5322322,72866.9651577,-1624.4329255
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,terminal_inventory_penalty,898.5,913.5,-15
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,risk_adjusted_pnl,0.402480573308,0.425308704787,-0.022828131479
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,maximum_drawdown,85727.2680675,87612.9728374,-1885.7047699
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,inventory_variance,348610.472231,361720.507884,-13110.035653
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,pre_liquidation_inventory,1797,1827,-30
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,final_inventory,0,0,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,maker_fills,570,567,3
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,0,market_maker_filled_quantity,7138,7138,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,fill_rate,0.5056,0.5036,0.002
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,gross_spread_capture,-41200.5758762,-39657.1150399,-1543.4608363
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,inventory_pnl,53780.5758762,53507.1150398,273.4608364
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,adverse_selection_cost,2933.34835045,2478.70778278,454.64056767
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,fee_pnl,-52.32,-52.72,0.4
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,net_pnl_after_fees,12527.68,13797.28,-1269.6
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,terminal_liquidation_cost,84600.1037051,84600.1037051,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,terminal_inventory_penalty,959,959,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,risk_adjusted_pnl,0.104086415351,0.115519729547,-0.011433314196
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,maximum_drawdown,111144.955478,111134.955478,10
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,inventory_variance,403447.649195,404372.792288,-925.143093
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,pre_liquidation_inventory,1918,1918,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,final_inventory,0,0,0
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,maker_fills,540,538,2
avellaneda_stoikov_minus_naive,inventory_cap_5000,trending,1,market_maker_filled_quantity,6974,6954,20
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,fill_rate,0.023,0.023,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,gross_spread_capture,1067.95078405,1187.95078405,-120
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,inventory_pnl,-5782.38370947,-5782.38370947,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,adverse_selection_cost,69.0555339221,69.0555339221,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,fee_pnl,4.6,4.6,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,net_pnl_after_fees,-4709.83292541,-4589.83292541,-120
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,terminal_liquidation_cost,0,0,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,terminal_inventory_penalty,0,0,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,risk_adjusted_pnl,-0.814999394059,-0.802567014742,-0.012432379317
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,maximum_drawdown,5778.94040137,5718.94040137,60
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,inventory_variance,361.25974044,361.25974044,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,pre_liquidation_inventory,-30,-30,0
avellaneda_stoikov_minus_naive,itch_calibrated_flow,trending,0,final_inventory,-30,-30,0
