scenario,flow_type,strategy_name,regime,seed,seed_index,fill_rate,gross_spread_capture,inventory_pnl,adverse_selection_cost,fee_pnl,net_pnl_after_fees,terminal_liquidation_cost,terminal_inventory_penalty,risk_adjusted_pnl,maximum_drawdown,inventory_variance,pre_liquidation_inventory,final_inventory,maker_fills,market_maker_filled_quantity
inventory_cap_5000,hand-chosen,naive symmetric,low volatility,4001,1,0.7426,34468.4104949,-1431.41049498,201.68513148,133.32,33170.32,2825.07609066,95,8.89360849553,3718.99887617,7888.59878806,190,0,798,7616
inventory_cap_5000,hand-chosen,naive symmetric,high volatility,3002,0,0.484,62333.3555432,-84434.3555432,7666.55032339,62.72,-22038.28,-21468.7734464,213,-0.280468739445,79336.0430973,169914.009208,426,0,521,5266
inventory_cap_5000,hand-chosen,naive symmetric,high volatility,4002,1,0.5425,18581.6879095,-14607.6879095,10927.5545928,74.66,4048.65999998,14458.2070989,211.5,0.131781192793,29117.6602569,48160.2913878,-423,0,592,5848
inventory_cap_5000,hand-chosen,naive symmetric,trending,3003,0,0.5311,-30873.8291557,69089.8291557,2174.05730488,-39.94,38176.06,72866.9651577,913.5,0.425308704787,87612.9728374,361720.507884,1827,0,567,7138
inventory_cap_5000,hand-chosen,naive symmetric,trending,4003,1,0.5036,-39657.1150399,53507.1150398,2478.70778278,-52.72,13797.28,84600.1037051,959,0.115519729547,111134.955478,404372.792288,1918,0,538,6954
inventory_cap_5000,hand-chosen,avellaneda stoikov,low volatility,3001,0,0.7255,25407.2323519,-3818.23235197,644.848847049,123.9,21712.9,7325.41395295,132.5,2.88696815934,7475.10842133,12558.3744379,-265,0,781,7520
inventory_cap_5000,hand-chosen,avellaneda stoikov,low volatility,4001,1,0.7426,30628.4104949,-1431.41049498,406.978472606,133.32,29330.32,2825.07609066,95,7.8190234788,3738.99887617,7888.59878806,190,0,798,7616
inventory_cap_5000,hand-chosen,avellaneda stoikov,high volatility,3002,0,0.4856,64450.2038445,-86652.2038445,8161.29981729,56.8,-22145.2,-25320.295345,252,-0.250093506858,89555.3038596,177917.599913,504,0,524,5360
inventory_cap_5000,hand-chosen,avellaneda stoikov,high volatility,4002,1,0.5458,15359.1799629,-12847.1799629,11772.0330718,74.28,2586.27999998,15292.9652367,218,0.0814458456866,29077.9717494,48172.1865437,-436,0,596,5894
inventory_cap_5000,hand-chosen,avellaneda stoikov,trending,3003,0,0.5341,-30953.32786,66392.32786,2677.72232151,-36.94,35402.06,71242.5322322,898.5,0.402480573308,85727.2680675,348610.472231,1797,0,570,7138
inventory_cap_5000,hand-chosen,avellaneda stoikov,trending,4003,1,0.5056,-41200.5758762,53780.5758762,2933.34835045,-52.32,12527.68,84600.1037051,959,0.104086415351,111144.955478,403447.649195,1918,0,540,6974
